visit,date,treatment,rep_ID,clone,stem,height_mm,eggs,alive1_dead0
3,6/3/2018,CO,1,1,1,478,0,1
3,6/3/2018,CO,1,1,2,437,0,1
3,6/3/2018,CO,2,2,1,441,0,1
3,6/3/2018,CO,3,3,1,518,0,1
3,6/3/2018,CO,3,3,2,521,0,1
3,6/3/2018,CO,4,4,1,418,0,1
3,6/3/2018,CO,5,5,1,564,0,1
3,6/3/2018,CO,6,6,1,482,0,1
3,6/3/2018,CO,6,6,2,611,0,1
3,6/3/2018,CO,7,7,1,570,0,1
3,6/3/2018,CO,8,8,1,166,0,1
3,6/3/2018,CO,8,8,2,646,0,1
3,6/3/2018,CO,8,8,3,615,0,1
3,6/3/2018,CO,8,8,4,613,0,1
3,6/3/2018,CO,9,9,1,620,0,1
3,6/3/2018,CO,9,9,2,489,0,1
3,6/3/2018,CO,10,10,1,388,0,1
3,6/3/2018,CO,10,10,2,326,0,1
3,6/3/2018,CO,11,11,1,330,0,1
3,6/3/2018,CO,11,11,2,85,0,0
3,6/3/2018,CO,11,11,3,587,0,1
3,6/3/2018,CO,11,11,4,561,0,1
3,6/3/2018,CO,11,11,5,492,0,1
3,6/3/2018,CO,12,12,1,655,0,1
3,6/3/2018,CO,12,12,2,461,0,1
3,6/3/2018,CO,12,12,3,519,0,1
3,6/3/2018,CO,13,13,1,NA,NA,NA
3,6/3/2018,CO,13,13,2,645,0,1
3,6/3/2018,CO,13,13,3,612,0,1
3,6/3/2018,CO,13,13,4,640,0,1
3,6/3/2018,CO,13,13,5,620,0,1
3,6/3/2018,CO,14,14,1,648,0,1
3,6/3/2018,CO,15,15,1,606,0,1
3,6/3/2018,CO,15,15,2,581,0,1
3,6/3/2018,CO,16,16,1,691,0,1
3,6/3/2018,CO,16,16,2,537,0,1
3,6/3/2018,CO,17,17,1,643,0,1
3,6/3/2018,CO,17,17,2,652,0,1
3,6/3/2018,CO,17,17,3,685,0,1
3,6/3/2018,CO,18,18,1,580,0,1
3,6/3/2018,CO,18,18,2,535,0,1
3,6/3/2018,CO,18,18,3,656,0,1
3,6/3/2018,CO,19,19,1,472,0,1
3,6/3/2018,CO,19,19,2,536,0,1
3,6/3/2018,CO,20,20,1,408,2,1
3,6/3/2018,CO,20,20,2,209,0,1
4,6/6/2018,CO,1,1,1,514,0,1
4,6/6/2018,CO,1,1,2,458,0,1
4,6/6/2018,CO,2,2,1,462,0,1
4,6/6/2018,CO,3,3,1,550,0,1
4,6/6/2018,CO,3,3,2,553,0,1
4,6/6/2018,CO,4,4,1,452,0,1
4,6/6/2018,CO,5,5,1,589,0,1
4,6/6/2018,CO,6,6,1,522,0,1
4,6/6/2018,CO,6,6,2,630,0,1
4,6/6/2018,CO,7,7,1,597,0,1
4,6/6/2018,CO,8,8,1,151,0,1
4,6/6/2018,CO,8,8,2,671,0,1
4,6/6/2018,CO,8,8,3,645,0,1
4,6/6/2018,CO,8,8,4,636,0,1
4,6/6/2018,CO,9,9,1,661,0,1
4,6/6/2018,CO,9,9,2,522,0,1
4,6/6/2018,CO,10,10,1,400,0,1
4,6/6/2018,CO,10,10,2,350,0,1
4,6/6/2018,CO,11,11,1,360,0,1
4,6/6/2018,CO,11,11,2,0,0,0
4,6/6/2018,CO,11,11,3,641,0,1
4,6/6/2018,CO,11,11,4,595,0,1
4,6/6/2018,CO,11,11,5,514,0,1
4,6/6/2018,CO,12,12,1,691,1,1
4,6/6/2018,CO,12,12,2,500,0,1
4,6/6/2018,CO,12,12,3,554,0,1
4,6/6/2018,CO,13,13,1,NA,NA,NA
4,6/6/2018,CO,13,13,2,658,0,1
4,6/6/2018,CO,13,13,3,634,0,1
4,6/6/2018,CO,13,13,4,660,0,1
4,6/6/2018,CO,13,13,5,643,0,1
4,6/6/2018,CO,14,14,1,660,0,1
4,6/6/2018,CO,15,15,1,642,0,1
4,6/6/2018,CO,15,15,2,614,0,1
4,6/6/2018,CO,16,16,1,700,0,1
4,6/6/2018,CO,16,16,2,553,1,1
4,6/6/2018,CO,17,17,1,667,0,1
4,6/6/2018,CO,17,17,2,682,1,1
4,6/6/2018,CO,17,17,3,705,0,1
4,6/6/2018,CO,18,18,1,606,0,1
4,6/6/2018,CO,18,18,2,540,0,1
4,6/6/2018,CO,18,18,3,705,0,1
4,6/6/2018,CO,19,19,1,485,0,1
4,6/6/2018,CO,19,19,2,571,1,1
4,6/6/2018,CO,20,20,1,430,0,1
4,6/6/2018,CO,20,20,2,267,0,1
5,6/10/2018,CO,1,1,1,539,0,1
5,6/10/2018,CO,1,1,2,510,0,1
5,6/10/2018,CO,2,2,1,454,0,1
5,6/10/2018,CO,3,3,1,561,0,1
5,6/10/2018,CO,3,3,2,573,1,1
5,6/10/2018,CO,4,4,1,483,0,1
5,6/10/2018,CO,5,5,1,611,0,1
5,6/10/2018,CO,6,6,1,536,0,1
5,6/10/2018,CO,6,6,2,661,0,1
5,6/10/2018,CO,7,7,1,648,0,1
5,6/10/2018,CO,8,8,1,NA,NA,NA
5,6/10/2018,CO,8,8,2,718,0,1
5,6/10/2018,CO,8,8,3,673,0,1
5,6/10/2018,CO,8,8,4,646,0,1
5,6/10/2018,CO,9,9,1,698,0,1
5,6/10/2018,CO,9,9,2,511,0,1
5,6/10/2018,CO,10,10,1,423,0,1
5,6/10/2018,CO,10,10,2,361,0,1
5,6/10/2018,CO,11,11,1,483,0,1
5,6/10/2018,CO,11,11,2,0,0,0
5,6/10/2018,CO,11,11,3,692,0,1
5,6/10/2018,CO,11,11,4,640,0,1
5,6/10/2018,CO,11,11,5,551,0,1
5,6/10/2018,CO,12,12,1,753,0,1
5,6/10/2018,CO,12,12,2,530,0,1
5,6/10/2018,CO,12,12,3,580,0,1
5,6/10/2018,CO,13,13,1,NA,NA,NA
5,6/10/2018,CO,13,13,2,674,0,1
5,6/10/2018,CO,13,13,3,666,0,1
5,6/10/2018,CO,13,13,4,679,0,1
5,6/10/2018,CO,13,13,5,675,0,1
5,6/10/2018,CO,14,14,1,683,0,1
5,6/10/2018,CO,15,15,1,695,0,1
5,6/10/2018,CO,15,15,2,644,1,1
5,6/10/2018,CO,16,16,1,743,0,1
5,6/10/2018,CO,16,16,2,554,0,1
5,6/10/2018,CO,17,17,1,713,0,1
5,6/10/2018,CO,17,17,2,721,0,1
5,6/10/2018,CO,17,17,3,720,0,1
5,6/10/2018,CO,18,18,1,630,0,1
